koi,sig_tt_min,s_oc_min,pval,source
204.01,1.47,1.57,0.0,Holczer+2016_J/ApJS/225/9_table4
208.01,1.41,1.59,-0.0,Holczer+2016_J/ApJS/225/9_table4
209.01,1.51,2.46,-0.7,Holczer+2016_J/ApJS/225/9_table4
209.02,3.00,7.73,-13.2,Holczer+2016_J/ApJS/225/9_table4
212.01,1.41,1.32,-0.0,Holczer+2016_J/ApJS/225/9_table4
214.01,1.11,1.19,-0.0,Holczer+2016_J/ApJS/225/9_table4
216.01,1.92,2.19,-0.0,Holczer+2016_J/ApJS/225/9_table4
217.01,0.45,0.74,-2.2,Holczer+2016_J/ApJS/225/9_table4
219.01,2.16,2.56,-0.0,Holczer+2016_J/ApJS/225/9_table4
220.01,2.70,2.93,0.0,Holczer+2016_J/ApJS/225/9_table4
221.01,2.02,2.32,-0.0,Holczer+2016_J/ApJS/225/9_table4
222.01,6.73,6.16,-0.0,Holczer+2016_J/ApJS/225/9_table4
222.02,12.71,12.24,-0.0,Holczer+2016_J/ApJS/225/9_table4
223.01,6.34,6.20,0.0,Holczer+2016_J/ApJS/225/9_table4
223.02,9.25,14.47,-0.5,Holczer+2016_J/ApJS/225/9_table4
226.01,11.49,11.74,-0.0,Holczer+2016_J/ApJS/225/9_table4
227.01,3.69,425.29,-16.,Holczer+2016_J/ApJS/225/9_table4
232.01,2.71,2.78,-0.0,Holczer+2016_J/ApJS/225/9_table4
232.02,16.92,13.56,0.0,Holczer+2016_J/ApJS/225/9_table4
232.03,21.87,30.49,-0.2,Holczer+2016_J/ApJS/225/9_table4
232.04,21.60,33.67,-0.5,Holczer+2016_J/ApJS/225/9_table4
232.05,20.51,6.44,-0.0,Holczer+2016_J/ApJS/225/9_table4
234.01,9.25,10.01,-0.0,Holczer+2016_J/ApJS/225/9_table4
235.01,9.22,10.00,-0.0,Holczer+2016_J/ApJS/225/9_table4
237.01,8.03,10.00,-0.0,Holczer+2016_J/ApJS/225/9_table4
238.01,10.95,10.39,-0.0,Holczer+2016_J/ApJS/225/9_table4
238.02,44.51,48.69,-0.0,Holczer+2016_J/ApJS/225/9_table4
239.01,5.81,6.71,-0.0,Holczer+2016_J/ApJS/225/9_table4
240.01,8.27,7.84,0.0,Holczer+2016_J/ApJS/225/9_table4
241.01,7.35,10.35,-0.1,Holczer+2016_J/ApJS/225/9_table4
241.02,26.54,28.13,-0.0,Holczer+2016_J/ApJS/225/9_table4
242.01,2.71,2.69,-0.0,Holczer+2016_J/ApJS/225/9_table4
244.01,0.96,1.72,-2.7,Holczer+2016_J/ApJS/225/9_table4
244.02,2.94,5.00,-2.7,Holczer+2016_J/ApJS/225/9_table4
245.01,1.19,2.55,-3.8,Holczer+2016_J/ApJS/225/9_table4
245.02,10.71,8.18,-0.0,Holczer+2016_J/ApJS/225/9_table4
246.01,2.89,3.24,-0.0,Holczer+2016_J/ApJS/225/9_table4
246.02,21.89,20.45,-0.0,Holczer+2016_J/ApJS/225/9_table4
247.01,7.78,6.14,-0.0,Holczer+2016_J/ApJS/225/9_table4
248.01,6.71,13.19,-6.4,Holczer+2016_J/ApJS/225/9_table4
248.02,10.49,20.89,-4.8,Holczer+2016_J/ApJS/225/9_table4
248.03,15.71,14.32,0.0,Holczer+2016_J/ApJS/225/9_table4
