kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_steff,koi_slogg,koi_srad,koi_smass
"K00209.02",10723750,"Kepler-117 b","CONFIRMED","CANDIDATE",1.0000,18.79591276,145.821854,0.695,7.5235,2431.4,7.39,0.1431,87.35,6163.00,4.185,1.4060,1.1020
"K00209.01",10723750,"Kepler-117 c","CONFIRMED","CANDIDATE",0.9930,50.79034648,135.632759,0.058,10.8474,5671.1,10.6,0.2776,89.91,6163.00,4.185,1.4060,1.1020
"K00351.06",11442793,"Kepler-90 b","CONFIRMED","CANDIDATE",0.9160,7.00821787,137.67164,0.156,3.812,116.4,1.29,0.0738,89.36,5970.00,4.317,1.2000,1.0890
"K00351.05",11442793,"Kepler-90 c","CONFIRMED","CANDIDATE",0.9990,8.71980135,139.52134,0.343,3.7454,160.4,1.53,0.0854,88.84,5970.00,4.317,1.2000,1.0890
"K00351.03",11442793,"Kepler-90 d","CONFIRMED","CANDIDATE",0.9990,59.7371443,158.95974,0.005,8.0006,566.4,2.84,0.308,89.99,5970.00,4.317,1.2000,1.0890
"K00351.04",11442793,"Kepler-90 e","CONFIRMED","CANDIDATE",0.9710,91.9401253,134.3,0.025,9.195,482.9,2.62,0.4105,89.98,5970.00,4.317,1.2000,1.0890
"K00351.01",11442793,"Kepler-90 h","CONFIRMED","CANDIDATE",0.0000,331.5972732,140.498929,0.02,14.404,8322.1,10.89,0.9654,89.99,5970.00,4.317,1.2000,1.0890
"K00216.02",6152974,"Kepler-118 b","CONFIRMED","CANDIDATE",0.9920,7.51854537,132.53078,0.13,2.845,286.7,1.42,0.0701,89.63,5064.00,4.474,0.8640,0.8110
"K00220.01",7132798,"Kepler-119 b","CONFIRMED","CANDIDATE",1.0000,2.422084188,132.940079,0.058,2.5613,1871.8,3.55,0.0344,89.56,5598.00,4.565,0.8300,0.9280
"K00222.01",4249725,"Kepler-120 b","CONFIRMED","CANDIDATE",1.0000,6.312508525,132.654418,0.029,2.7455,1286,2,0.0561,89.91,4090.00,4.696,0.5710,0.5910
"K00223.01",4545187,"Kepler-121 b","CONFIRMED","CANDIDATE",1.0000,3.177414601,134.478892,0.786,1.5262,1134.3,2.65,0.039,85.79,5303.00,4.630,0.7080,0.7850
"K00223.02",4545187,"Kepler-121 c","CONFIRMED","CANDIDATE",1.0000,41.0081117,147.03382,0.878,4.376,1004.5,2.64,0.2144,88.72,5303.00,4.630,0.7080,0.7850
"K00232.02",4833421,"Kepler-122 b","CONFIRMED","CANDIDATE",1.0000,5.766165573,134.01725,0.017,3.8314,364.8,2.27,0.0629,89.92,6038.00,4.284,1.1910,0.9950
"K00232.01",4833421,"Kepler-122 c","CONFIRMED","CANDIDATE",1.0000,12.466004437,134.003258,0.209,5.0066,2232.1,5.65,0.1051,89.39,6038.00,4.284,1.1910,0.9950
"K00232.03",4833421,"Kepler-122 d","CONFIRMED","CANDIDATE",1.0000,21.58752788,142.96728,0.009,4.4968,336.8,2.18,0.1516,89.99,6038.00,4.284,1.1910,0.9950
"K00232.04",4833421,"Kepler-122 e","CONFIRMED","CANDIDATE",1.0000,37.9962369,162.97984,0.023,6.7751,403.7,2.39,0.221,89.97,6038.00,4.284,1.1910,0.9950
"K00232.05",4833421,"Kepler-122 f","CONFIRMED","CANDIDATE",1.0000,56.2590881,164.21993,0.026,8.114,348.8,2.22,0.287,89.97,6038.00,4.284,1.1910,0.9950
"K00238.01",7219825,"Kepler-123 b","CONFIRMED","CANDIDATE",1.0000,17.23232894,135.0922,0.395,4.5568,509.8,2.79,0.1312,89.17,6086.00,4.274,1.2160,1.0130
"K00241.03",11288051,"Kepler-124 b","CONFIRMED","CANDIDATE",1.0000,3.41045981,131.58062,0.971,2.866,136.2,1.06,0.0395,70.06,4983.00,4.660,0.6510,0.7150
"K00241.01",11288051,"Kepler-124 c","CONFIRMED","CANDIDATE",1.0000,13.82142084,131.79237,0.904,3.985,765.2,2.2,0.1005,86.05,4983.00,4.660,0.6510,0.7150
"K00251.01",10489206,"Kepler-125 b","CONFIRMED","CANDIDATE",1.0000,4.164384505,171.087935,0.59,1.8464,2338,2.54,0.0411,87.73,3808.00,4.754,0.5080,0.5340
"K00260.01",8292840,"Kepler-126 b","CONFIRMED","CANDIDATE",1.0000,10.49566303,172.79335,0.16,4.7356,106.1,1.34,0.0958,89.46,6214.00,4.238,1.2970,1.0590
"K00260.03",8292840,"Kepler-126 c","CONFIRMED","CANDIDATE",1.0000,21.86965714,140.29513,0.557,5.5177,125.5,1.51,0.1562,88.75,6214.00,4.238,1.2970,1.0590
"K00260.02",8292840,"Kepler-126 d","CONFIRMED","CANDIDATE",1.0000,100.2830675,245.04318,0.535,10.8636,351.2,2.51,0.4312,89.5,6214.00,4.238,1.2970,1.0590
"K00271.03",9451706,"Kepler-127 b","CONFIRMED","CANDIDATE",1.0000,14.4359459,141.51253,0.613,3.414,107.3,1.46,0.1242,88.65,6075.00,4.264,1.3520,1.2250
"K00271.02",9451706,"Kepler-127 c","CONFIRMED","CANDIDATE",1.0000,29.39337161,209.06737,0.512,7.0445,327,2.5,0.1995,88.95,6075.00,4.264,1.3520,1.2250
"K00274.01",8077137,"Kepler-128 b","CONFIRMED","CANDIDATE",1.0000,15.0896415,175.95371,0.02,4.3349,77.8,1.42,0.1231,89.96,6063.00,4.061,1.6130,1.0920
"K00275.01",10586004,"Kepler-129 b","CONFIRMED","CANDIDATE",0.9520,15.79196594,176.81888,0.032,7.2772,203.1,2.4,0.1328,89.89,5758.00,4.072,1.7040,1.2510
"K00282.02",5088536,"Kepler-130 b","CONFIRMED","CANDIDATE",0.9990,8.45744892,139.06689,0.494,3.2893,77.4,1.02,0.0799,88.36,5903.00,4.304,1.1370,0.9500
"K00283.01",5695396,"Kepler-131 b","CONFIRMED","CANDIDATE",0.9760,16.09196369,170.598832,0.546,2.8943,415.8,2.13,0.1238,89.14,5680.00,4.414,1.0160,0.9780
"K00284.03",6021275,"Kepler-132 b","CONFIRMED","CANDIDATE",0.9980,6.17817366,168.8626,0.775,3.2601,101.9,1.22,0.0643,85.28,5931.00,4.322,1.1010,0.9290
"K00291.02",10933561,"Kepler-133 b","CONFIRMED","CANDIDATE",1.0000,8.12999858,134.10067,0.896,2.1492,148,2.04,0.0791,86.24,5611.00,4.144,1.4000,0.9950
"K00295.01",11547513,"Kepler-134 b","CONFIRMED","CANDIDATE",1.0000,5.317440164,171.875619,0.72,2.9331,292.5,1.94,0.059,85.86,5923.00,4.377,1.0540,0.9660
"K00301.01",3642289,"Kepler-135 b","CONFIRMED","CANDIDATE",1.0000,6.002548291,171.71419,0.914,4.1628,202,2.33,0.0697,79.39,6204.00,4.269,1.3600,1.2570
"K00312.01",7050989,"Kepler-136 b","CONFIRMED","CANDIDATE",1.0000,11.57890926,175.58603,0.359,2.7207,243.4,2.06,0.1062,89.33,6156.00,4.284,1.3030,1.1930
"K00312.02",7050989,"Kepler-136 c","CONFIRMED","CANDIDATE",0.9980,16.39926461,131.96806,0.115,3.4108,220.8,1.94,0.134,89.82,6156.00,4.284,1.3030,1.1930
