pl_name,hostname,pl_letter,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,default_flag,tran_flag
"KIC 8540376 b","KOI-7892","b",3,"Transit",2015,"Kepler",31.80990000000,,4.10000000,0.36577750,,,,89.30000,,0.09000000,,6474.00,1.260000,1.040000,1,1
"Kepler-1732 b","Kepler-1732","b",1,"Transit",2021,"Kepler",32.31240082000,,4.09903273,0.36569184,,,,,,,,5821.00,1.494000,1.043000,1,1
"Kepler-747 b","Kepler-747","b",1,"Transit",2016,"Kepler",35.61760587000,,5.27000000,0.47015791,,,,,,,8.4208000,5096.00,0.780000,0.820000,1,1
"Kepler-1736 b","Kepler-1736","b",1,"Transit",2021,"Kepler",37.81029892000,,3.87658560,0.34584640,,,,,,,,6085.00,0.973000,0.976000,1,1
"Kepler-759 b","Kepler-759","b",1,"Transit",2016,"Kepler",41.80598500000,,2.27000000,0.20251584,,,,,,,6.1320000,5860.00,1.040000,1.040000,1,1
"Kepler-47 b","Kepler-47","b",3,"Transit",2012,"Kepler",49.46430000000,0.2877000000,3.05000000,0.27210277,2.07000000,0.00651292,0.021000,89.75200,,,,,0.936000,0.957000,1,1
"Kepler-1737 b","Kepler-1737","b",1,"Transit",2021,"Kepler",64.61750031000,,5.39500000,0.48131049,,,,,,,,5043.00,0.881000,0.834000,1,1
"Kepler-289 d","Kepler-289","d",4,"Transit",2014,"Kepler",66.02820000000,,3.03000000,0.27031896,5.33000000,0.01677006,,89.31000,,,,5990.00,1.000000,1.080000,1,1
"Kepler-413 b","Kepler-413","b",1,"Transit",2014,"Kepler",66.26200000000,0.3553000000,4.34700000,0.38800000,67.00000000,0.21100000,0.118100,89.92900,,,,4700.00,0.776100,0.820000,1,1
"KIC 8540376 c","KOI-7892","c",3,"Transit",2015,"Kepler",75.20000000000,,2.40000000,0.21411366,,,,89.70100,,0.03240000,,6474.00,1.260000,1.040000,1,1
"Kepler-418 b","Kepler-418","b",2,"Transit",2014,"Kepler",86.67856000000,,13.45000000,1.20000000,349.61124770,1.10000000,0.200000,89.95200,0.230000,,10.2240000,5820.00,1.090000,0.980000,1,1
"PH1 b","PH1","b",1,"Transit",2012,"Kepler",138.31700000000,0.6520000000,6.18000000,0.55100000,169.00000000,0.53100000,0.070200,90.05000,,,,6407.00,1.734000,1.528000,1,1
"Kepler-782 b","Kepler-782","b",1,"Transit",2016,"Kepler",158.68533080000,,3.21000000,0.28637702,,,,,,,11.6770000,5867.00,1.010000,0.980000,1,1
"Kepler-767 b","Kepler-767","b",1,"Transit",2016,"Kepler",161.52801010000,,6.64000000,0.59238112,,,,,,,3.6935000,5694.00,0.940000,0.960000,1,1
"Kepler-453 b","Kepler-453","b",1,"Transit",2015,"Kepler",240.50300000000,0.7903000000,6.20400000,0.55348381,16.00000000,0.05034138,0.035900,89.44290,,,,5527.00,0.833000,0.944000,1,1
"Kepler-47 c","Kepler-47","c",3,"Transit",2012,"Kepler",303.22700000000,0.9638000000,4.65000000,0.41484521,3.17000000,0.00997389,0.044000,90.19250,,,,,0.936000,0.957000,1,1
"Kepler-150 f","Kepler-150","f",5,"Transit",2017,"Kepler",637.20930000000,1.2400000000,3.64000000,0.32473905,,,,90.00000,0.000000,,13.4100000,5528.00,0.905339,0.970000,1,1
"KIC 10525077 b","KIC 10525077","b",1,"Transit",2015,"Kepler",854.08300000000,,5.50000000,0.49067713,,,,89.86100,,0.25000000,,6091.00,1.010000,1.010000,1,1
"Kepler-1647 b","Kepler-1647","b",1,"Transit",2016,"Kepler",1107.59230000000,2.7205000000,11.87390000,1.05931840,483.00000000,1.51968033,0.058100,90.09720,,,,6210.00,1.790300,1.220700,1,1
"KIC 3558849 b","KIC 3558849","b",1,"Transit",2015,"Kepler",1322.30000000000,,6.90000000,0.61557677,,,,89.97300,,0.39690000,,6175.00,1.010000,0.980000,1,1
